geometry,latitude,longitude,Name,Description
"{""type"":""Point"",""coordinates"":[77.757859,12.9956461,0.0]}",12.9956461,77.757859,Whitefield (Kadugodi),""
"{""type"":""Point"",""coordinates"":[77.7537582,12.9871126,0.0]}",12.9871126,77.7537582,Hopefarm Channasandra,""
"{""type"":""Point"",""coordinates"":[77.7470262,12.9856768,0.0]}",12.9856768,77.7470262,Kadugodi Tree Park,""
"{""type"":""Point"",""coordinates"":[77.7377718,12.9876393,0.0]}",12.9876393,77.7377718,Pattandur Agrahara,""
"{""type"":""Point"",""coordinates"":[77.7275361,12.9811949,0.0]}",12.9811949,77.7275361,Sathya Sai Hospital,""
"{""type"":""Point"",""coordinates"":[77.7248845,12.9766408,0.0]}",12.9766408,77.7248845,Nallurahalli,""
"{""type"":""Point"",""coordinates"":[77.7155586,12.977594,0.0]}",12.977594,77.7155586,Kundalahalli,""
"{""type"":""Point"",""coordinates"":[77.7087519,12.9809532,0.0]}",12.9809532,77.7087519,Seetharampalya,""
"{""type"":""Point"",""coordinates"":[77.711326,12.9888029,0.0]}",12.9888029,77.711326,Hoodi,""
"{""type"":""Point"",""coordinates"":[77.7036768,12.9934505,0.0]}",12.9934505,77.7036768,Garudacharpalya,""
"{""type"":""Point"",""coordinates"":[77.6927176,12.9965445,0.0]}",12.9965445,77.6927176,Singayyanapalya,""
"{""type"":""Point"",""coordinates"":[77.6776721,12.9999042,0.0]}",12.9999042,77.6776721,Krishnarajapura,""
"{""type"":""Point"",""coordinates"":[77.5001349,13.0479497,0.0]}",13.0479497,77.5001349,Nagasandra,""
"{""type"":""Point"",""coordinates"":[77.5125535,13.0432607,0.0]}",13.0432607,77.5125535,Dasarahalli,""
"{""type"":""Point"",""coordinates"":[77.5197351,13.0394104,0.0]}",13.0394104,77.5197351,Jalahalli,""
"{""type"":""Point"",""coordinates"":[77.5631963,12.9965253,0.0]}",12.9965253,77.5631963,Srirampura,""
"{""type"":""Point"",""coordinates"":[77.6523976,12.9907623,0.0]}",12.9907623,77.6523976,Baiyyappanahalli,""
"{""type"":""Point"",""coordinates"":[77.644897,12.9859306,0.0]}",12.9859306,77.644897,Swami Vivekananda Road,""
"{""type"":""Point"",""coordinates"":[77.6386612,12.9783325,0.0]}",12.9783325,77.6386612,Indiranagar,""
"{""type"":""Point"",""coordinates"":[77.626686,12.9764992,0.0]}",12.9764992,77.626686,Halasuru,""
"{""type"":""Point"",""coordinates"":[77.6170205,12.9730218,0.0]}",12.9730218,77.6170205,Trinity,""
"{""type"":""Point"",""coordinates"":[77.6067902,12.9755264,0.0]}",12.9755264,77.6067902,Mahatma Gandhi Road,""
"{""type"":""Point"",""coordinates"":[77.5975756,12.9809575,0.0]}",12.9809575,77.5975756,Cubbon Park,""
"{""type"":""Point"",""coordinates"":[77.5916385,12.9787419,0.0]}",12.9787419,77.5916385,"Dr. B R Ambedkar Station, Vidhana Soudha",""
"{""type"":""Point"",""coordinates"":[77.58422,12.9745197,0.0]}",12.9745197,77.58422,Sir M Vishweshwariah - Central College,""
"{""type"":""Point"",""coordinates"":[77.5728757,12.9757079,0.0]}",12.9757079,77.5728757,"Nadaprabhu Kempegowda Station, Majestic",""
"{""type"":""Point"",""coordinates"":[77.5653767,12.9758768,0.0]}",12.9758768,77.5653767,Krantivira Sangolli Rayanna,""
"{""type"":""Point"",""coordinates"":[77.5553523,12.975632,0.0]}",12.975632,77.5553523,Magadi Road,""
"{""type"":""Point"",""coordinates"":[77.5456215,12.9742933,0.0]}",12.9742933,77.5456215,"Sri Balagangadaranatha Swamy, Hosahalli",""
"{""type"":""Point"",""coordinates"":[77.5374044,12.9709559,0.0]}",12.9709559,77.5374044,Vijayanagara,""
"{""type"":""Point"",""coordinates"":[77.5335788,12.9618931,0.0]}",12.9618931,77.5335788,Attiguppe,""
"{""type"":""Point"",""coordinates"":[77.5370122,12.9520578,0.0]}",12.9520578,77.5370122,Deepanjali Nagar,""
"{""type"":""Point"",""coordinates"":[77.5301588,12.9467183,0.0]}",12.9467183,77.5301588,Mysore Road,""
"{""type"":""Point"",""coordinates"":[77.5707293,12.9904629,0.0]}",12.9904629,77.5707293,Mantri Square Sampige Road,""
"{""type"":""Point"",""coordinates"":[77.5568986,12.9985297,0.0]}",12.9985297,77.5568986,Mahakavi Kuvempu Road,""
"{""type"":""Point"",""coordinates"":[77.5496568,13.0005247,0.0]}",13.0005247,77.5496568,Rajajinagar,""
"{""type"":""Point"",""coordinates"":[77.5487134,13.0080952,0.0]}",13.0080952,77.5487134,Mahalakshmi,""
"{""type"":""Point"",""coordinates"":[77.5539839,13.0146544,0.0]}",13.0146544,77.5539839,Sandal Soap Factory,""
"{""type"":""Point"",""coordinates"":[77.5408961,13.0284078,0.0]}",13.0284078,77.5408961,Goraguntepalya,""
"{""type"":""Point"",""coordinates"":[77.533201,13.0330189,0.0]}",13.0330189,77.533201,Peenya,""
"{""type"":""Point"",""coordinates"":[77.5254924,13.0363176,0.0]}",13.0363176,77.5254924,Peenya Industry,""
"{""type"":""Point"",""coordinates"":[77.5701194,12.8960498,0.0]}",12.8960498,77.5701194,Yelachenahalli,""
"{""type"":""Point"",""coordinates"":[77.5731279,12.9074747,0.0]}",12.9074747,77.5731279,J P Nagar,""
"{""type"":""Point"",""coordinates"":[77.573598,12.9152208,0.0]}",12.9152208,77.573598,Banashankari,""
"{""type"":""Point"",""coordinates"":[77.5802295,12.9213258,0.0]}",12.9213258,77.5802295,Rashtriya Vidyalaya Road,""
